date_dec,ndec,ADEC,MDEC,md_dec,ndec_fem,ndec_hom,periode,weekday_dec,weekend
2016-05-12,8.58064516129032,2016,5,05-12,2.16129032258065,6.41935483870968,3,Thu,0
2016-05-13,8.58064516129032,2016,5,05-13,2.16129032258065,6.41935483870968,3,Fri,0
2016-05-14,8.58064516129032,2016,5,05-14,2.16129032258065,6.41935483870968,3,Sat,1
2016-05-15,8.58064516129032,2016,5,05-15,2.16129032258065,6.41935483870968,3,Sun,1
2016-05-16,8.58064516129032,2016,5,05-16,2.16129032258065,6.41935483870968,3,Mon,0
2016-05-17,8.58064516129032,2016,5,05-17,2.16129032258065,6.41935483870968,3,Tue,0
2016-05-18,8.58064516129032,2016,5,05-18,2.16129032258065,6.41935483870968,3,Wed,0
2016-05-19,8.58064516129032,2016,5,05-19,2.16129032258065,6.41935483870968,3,Thu,0
2016-05-20,8.58064516129032,2016,5,05-20,2.16129032258065,6.41935483870968,3,Fri,0
2016-05-21,8.58064516129032,2016,5,05-21,2.16129032258065,6.41935483870968,3,Sat,1
2016-05-22,8.58064516129032,2016,5,05-22,2.16129032258065,6.41935483870968,3,Sun,1
2016-05-23,8.58064516129032,2016,5,05-23,2.16129032258065,6.41935483870968,3,Mon,0
2016-05-24,8.58064516129032,2016,5,05-24,2.16129032258065,6.41935483870968,3,Tue,0
2016-05-25,8.58064516129032,2016,5,05-25,2.16129032258065,6.41935483870968,3,Wed,0
2016-05-26,8.58064516129032,2016,5,05-26,2.16129032258065,6.41935483870968,3,Thu,0
2016-05-27,8.58064516129032,2016,5,05-27,2.16129032258065,6.41935483870968,3,Fri,0
2016-05-28,8.58064516129032,2016,5,05-28,2.16129032258065,6.41935483870968,3,Sat,1
2016-05-29,8.58064516129032,2016,5,05-29,2.16129032258065,6.41935483870968,3,Sun,1
2016-05-30,8.58064516129032,2016,5,05-30,2.16129032258065,6.41935483870968,3,Mon,0
2016-05-31,8.58064516129032,2016,5,05-31,2.16129032258065,6.41935483870968,3,Tue,0
2016-06-01,9.8,2016,6,06-01,3.23333333333333,6.56666666666667,3,Wed,0
2016-06-02,9.8,2016,6,06-02,3.23333333333333,6.56666666666667,3,Thu,0
2016-06-03,9.8,2016,6,06-03,3.23333333333333,6.56666666666667,3,Fri,0
2016-06-04,9.8,2016,6,06-04,3.23333333333333,6.56666666666667,3,Sat,1
2016-06-05,9.8,2016,6,06-05,3.23333333333333,6.56666666666667,3,Sun,1
2016-06-06,9.8,2016,6,06-06,3.23333333333333,6.56666666666667,3,Mon,0
2016-06-07,9.8,2016,6,06-07,3.23333333333333,6.56666666666667,3,Tue,0
2016-06-08,9.8,2016,6,06-08,3.23333333333333,6.56666666666667,3,Wed,0
2016-06-09,9.8,2016,6,06-09,3.23333333333333,6.56666666666667,3,Thu,0
2016-06-10,9.8,2016,6,06-10,3.23333333333333,6.56666666666667,3,Fri,0
2016-06-11,9.8,2016,6,06-11,3.23333333333333,6.56666666666667,3,Sat,1
2016-06-12,9.8,2016,6,06-12,3.23333333333333,6.56666666666667,3,Sun,1
2016-06-13,9.8,2016,6,06-13,3.23333333333333,6.56666666666667,3,Mon,0
2016-06-14,9.8,2016,6,06-14,3.23333333333333,6.56666666666667,3,Tue,0
2016-06-15,9.8,2016,6,06-15,3.23333333333333,6.56666666666667,3,Wed,0
2016-06-16,9.8,2016,6,06-16,3.23333333333333,6.56666666666667,3,Thu,0
2016-06-17,9.8,2016,6,06-17,3.23333333333333,6.56666666666667,3,Fri,0
2016-06-18,9.8,2016,6,06-18,3.23333333333333,6.56666666666667,3,Sat,1
2016-06-19,9.8,2016,6,06-19,3.23333333333333,6.56666666666667,3,Sun,1
2016-06-20,9.8,2016,6,06-20,3.23333333333333,6.56666666666667,3,Mon,0
2016-06-21,9.8,2016,6,06-21,3.23333333333333,6.56666666666667,3,Tue,0
2016-06-22,9.8,2016,6,06-22,3.23333333333333,6.56666666666667,3,Wed,0
2016-06-23,9.8,2016,6,06-23,3.23333333333333,6.56666666666667,3,Thu,0
2016-06-24,9.8,2016,6,06-24,3.23333333333333,6.56666666666667,3,Fri,0
2016-06-25,9.8,2016,6,06-25,3.23333333333333,6.56666666666667,3,Sat,1
2016-06-26,9.8,2016,6,06-26,3.23333333333333,6.56666666666667,3,Sun,1
2016-06-27,9.8,2016,6,06-27,3.23333333333333,6.56666666666667,3,Mon,0
2016-06-28,9.8,2016,6,06-28,3.23333333333333,6.56666666666667,3,Tue,0
2016-06-29,9.8,2016,6,06-29,3.23333333333333,6.56666666666667,3,Wed,0
2016-06-30,9.8,2016,6,06-30,3.23333333333333,6.56666666666667,3,Thu,0
2016-07-01,11.7096774193548,2016,7,07-01,3.12903225806452,8.58064516129032,3,Fri,0
2016-07-02,11.7096774193548,2016,7,07-02,3.12903225806452,8.58064516129032,3,Sat,1
2016-07-03,11.7096774193548,2016,7,07-03,3.12903225806452,8.58064516129032,3,Sun,1
2016-07-04,11.7096774193548,2016,7,07-04,3.12903225806452,8.58064516129032,3,Mon,0
2016-07-05,11.7096774193548,2016,7,07-05,3.12903225806452,8.58064516129032,3,Tue,0
2016-07-06,11.7096774193548,2016,7,07-06,3.12903225806452,8.58064516129032,3,Wed,0
2016-07-07,11.7096774193548,2016,7,07-07,3.12903225806452,8.58064516129032,3,Thu,0
2016-07-08,11.7096774193548,2016,7,07-08,3.12903225806452,8.58064516129032,3,Fri,0
2016-07-09,11.7096774193548,2016,7,07-09,3.12903225806452,8.58064516129032,3,Sat,1
2016-07-10,11.7096774193548,2016,7,07-10,3.12903225806452,8.58064516129032,3,Sun,1
2016-07-11,11.7096774193548,2016,7,07-11,3.12903225806452,8.58064516129032,3,Mon,0
2016-07-12,11.7096774193548,2016,7,07-12,3.12903225806452,8.58064516129032,3,Tue,0
2016-07-13,11.7096774193548,2016,7,07-13,3.12903225806452,8.58064516129032,3,Wed,0
2016-07-14,11.7096774193548,2016,7,07-14,3.12903225806452,8.58064516129032,3,Thu,0
2016-07-15,11.7096774193548,2016,7,07-15,3.12903225806452,8.58064516129032,3,Fri,0
2016-07-16,11.7096774193548,2016,7,07-16,3.12903225806452,8.58064516129032,3,Sat,1
2016-07-17,11.7096774193548,2016,7,07-17,3.12903225806452,8.58064516129032,3,Sun,1
2016-07-18,11.7096774193548,2016,7,07-18,3.12903225806452,8.58064516129032,3,Mon,0
2016-07-19,11.7096774193548,2016,7,07-19,3.12903225806452,8.58064516129032,3,Tue,0
